x,y,z,value
0.0,0.0,0.0,4.656023338179346
0.0,0.0,1.0,4.5055495726525585
0.0,0.0,2.0,4.361682626793127
0.0,0.0,3.0,4.22742963936735
0.0,0.0,4.0,4.105702906833894
0.0,0.0,5.0,3.9992251654666178
0.0,0.0,6.0,3.910426111170529
0.0,0.0,7.0,3.8413348986941425
0.0,0.0,8.0,3.793474372459388
0.0,0.0,9.0,3.7677634567554597
0.0,0.0,10.0,3.764434401516653
0.0,0.0,11.0,3.7829713958641524
0.0,0.0,12.0,3.822076410184073
0.0,0.0,13.0,3.879667026431848
0.0,0.0,14.0,3.952909515515175
0.0,0.0,15.0,4.038288599592791
0.0,0.0,16.0,4.131713300497614
0.0,0.0,17.0,4.228656146316834
0.0,0.0,18.0,4.324320920144681
0.0,0.0,19.0,4.413832223780972
0.0,0.0,20.0,4.49243852319896
0.0,0.0,21.0,4.555719154691223
0.0,0.0,22.0,4.599785089924561
0.0,0.0,23.0,4.621463144041727
0.0,0.0,24.0,4.618453788498882
0.0,0.0,25.0,4.589453788057614
0.0,0.0,26.0,4.534236471389199
0.0,0.0,27.0,4.453684485317503
0.0,0.0,28.0,4.349772262846333
0.0,0.0,29.0,4.225498021249733
0.0,0.0,30.0,4.084767750688382
0.0,0.0,31.0,3.932236202783069
0.0,0.0,32.0,3.773112193248773
0.0,0.0,33.0,3.6129374574575595
0.0,0.0,34.0,3.4573497289538633
0.0,0.0,35.0,3.3118415637773424
0.0,0.0,36.0,3.1815266574837646
0.0,0.0,37.0,3.070924983855597
0.0,0.0,38.0,2.9837770494085434
0.0,0.0,39.0,2.9228959673212227
0.0,0.0,40.0,2.8900640022737787
0.0,0.0,41.0,2.885977844433621
0.0,0.0,42.0,2.910244276124444
0.0,0.0,43.0,2.96142524865312
0.0,0.0,44.0,3.037128840669146
0.0,0.0,45.0,3.1341402666526212
0.0,0.0,46.0,3.2485851714830205
0.0,0.0,47.0,3.3761159873674145
0.0,0.0,48.0,3.512111215718676
0.0,0.0,49.0,3.651877168178191
0.0,1.0,0.0,4.6829629955433365
0.0,1.0,1.0,4.536501381638738
0.0,1.0,2.0,4.396501529230097
0.0,1.0,3.0,4.2659903658273475
