x,y,z,value
0.0,0.0,0.0,5.687976167955475
0.0,0.0,1.0,5.206994612058124
0.0,0.0,2.0,4.755961288840772
0.0,0.0,3.0,4.346861613483505
0.0,0.0,4.0,3.988376466264879
0.0,0.0,5.0,3.6856278450729265
0.0,0.0,6.0,3.4402540682883487
0.0,0.0,7.0,3.2507972576065285
0.0,0.0,8.0,3.1133496233850675
0.0,0.0,9.0,3.0223751357908544
0.0,0.0,10.0,2.97160366347353
0.0,0.0,11.0,2.954888403110756
0.0,0.0,12.0,2.966925400049565
0.0,0.0,13.0,3.003755162669096
0.0,0.0,14.0,3.0629978966510283
0.0,0.0,15.0,3.1438113247188446
0.0,0.0,16.0,3.2465981325442237
0.0,0.0,17.0,3.372523405739928
0.0,0.0,18.0,3.522926298264137
0.0,0.0,19.0,3.698721292000671
0.0,0.0,20.0,3.899881354473072
0.0,0.0,21.0,4.125078770400461
0.0,0.0,22.0,4.371532118299171
0.0,0.0,23.0,4.6350740969559325
0.0,0.0,24.0,4.910419942934324
0.0,0.0,25.0,5.191585433947491
0.0,0.0,26.0,5.472381677065011
0.0,0.0,27.0,5.746904354694218
0.0,0.0,28.0,6.009939231398905
0.0,0.0,29.0,6.2572227399169265
0.0,0.0,30.0,6.48552354529441
0.0,0.0,31.0,6.692543690561785
0.0,0.0,32.0,6.876670877207279
0.0,0.0,33.0,7.036641150594608
0.0,0.0,34.0,7.171189030177421
0.0,0.0,35.0,7.278766753203515
0.0,0.0,36.0,7.357404646798306
0.0,0.0,37.0,7.404761838204142
0.0,0.0,38.0,7.41838383364898
0.0,0.0,39.0,7.39614590425281
0.0,0.0,40.0,7.336824628168882
0.0,0.0,41.0,7.240710329955109
0.0,0.0,42.0,7.110155651390074
0.0,0.0,43.0,6.9499535351075945
0.0,0.0,44.0,6.767452711987676
0.0,0.0,45.0,6.572349067584775
0.0,0.0,46.0,6.376133353170431
0.0,0.0,47.0,6.1912240236693465
0.0,0.0,48.0,6.029861799670294
0.0,0.0,49.0,5.902882933024646
0.0,1.0,0.0,5.627912717364973
0.0,1.0,1.0,5.156958768507241
0.0,1.0,2.0,4.719007914250019
0.0,1.0,3.0,4.325597399369265
0.0,1.0,4.0,3.9846668296274
0.0,1.0,5.0,3.700360482136363
0.0,1.0,6.0,3.4731848886567063
0.0,1.0,7.0,3.3004963830832983
0.0,1.0,8.0,3.177255089408928
0.0,1.0,9.0,3.0969508727840296
0.0,1.0,10.0,3.052587401233966
0.0,1.0,11.0,3.037605508622662
0.0,1.0,12.0,3.0466374106290846
0.0,1.0,13.0,3.076007777236751
0.0,1.0,14.0,3.12393297472096
0.0,1.0,15.0,3.1904111431857727
0.0,1.0,16.0,3.2768374461323573
0.0,1.0,17.0,3.3854149977684864
0.0,1.0,18.0,3.518457580542532
0.0,1.0,19.0,3.6776917575510786
0.0,1.0,20.0,3.8636618573109063
0.0,1.0,21.0,4.075322344216296
0.0,1.0,22.0,4.309871255744456
0.0,1.0,23.0,4.5628404121665564
0.0,1.0,24.0,4.828418767290696
0.0,1.0,25.0,5.099950539866435
0.0,1.0,26.0,5.370524900004354
0.0,1.0,27.0,5.633562719580315
0.0,1.0,28.0,5.883309867304926
0.0,1.0,29.0,6.115165011310117
0.0,1.0,30.0,6.325799889114941
0.0,1.0,31.0,6.513066696437217
0.0,1.0,32.0,6.675724717855596
0.0,1.0,33.0,6.813050472595097
0.0,1.0,34.0,6.9244171387885025
0.0,1.0,35.0,7.0089361178815475
0.0,1.0,36.0,7.065244793705332
0.0,1.0,37.0,7.091500811588842
0.0,1.0,38.0,7.0856079327272266
0.0,1.0,39.0,7.045657017199062
0.0,1.0,40.0,6.970524419817329
0.0,1.0,41.0,6.860535700239909
0.0,1.0,42.0,6.718080881133105
0.0,1.0,43.0,6.5480626270279245
0.0,1.0,44.0,6.358072344740547
0.0,1.0,45.0,6.158220272438776
0.0,1.0,46.0,5.960590416463378
0.0,1.0,47.0,5.778343808536829
0.0,1.0,48.0,5.624546695498927
0.0,1.0,49.0,5.510846273691218
0.0,2.0,0.0,5.520415614979028
0.0,2.0,1.0,5.066028117532773
0.0,2.0,2.0,4.6481843175896564
0.0,2.0,3.0,4.277778245550527
0.0,2.0,4.0,3.961820328331717
0.0,2.0,5.0,3.703302930695841
0.0,2.0,6.0,3.5014438059172357
0.0,2.0,7.0,3.352274166805553
0.0,2.0,8.0,3.249498357683615
0.0,2.0,9.0,3.185520539966697
0.0,2.0,10.0,3.152514797837992
0.0,2.0,11.0,3.1434114576399863
0.0,2.0,12.0,3.1526849913179684
0.0,2.0,13.0,3.176856216328322
0.0,2.0,14.0,3.214660102388277
0.0,2.0,15.0,3.2668752014816347
0.0,2.0,16.0,3.335855446926522
0.0,2.0,17.0,3.4248436566764484
0.0,2.0,18.0,3.5371731738961434
0.0,2.0,19.0,3.675475934715922
0.0,2.0,20.0,3.8410102899072123
0.0,2.0,21.0,4.033200972293421
0.0,2.0,22.0,4.249449870603451
0.0,2.0,23.0,4.4852347976964975
0.0,2.0,24.0,4.734470424515785
0.0,2.0,25.0,4.990067415431211
0.0,2.0,26.0,5.2445982351926395
0.0,2.0,27.0,5.490965193898503
0.0,2.0,28.0,5.722969916260459
0.0,2.0,29.0,5.935702897115441
0.0,2.0,30.0,6.125704019033007
0.0,2.0,31.0,6.290884747289497
0.0,2.0,32.0,6.4302438396105055
0.0,2.0,33.0,6.543444203547249
0.0,2.0,34.0,6.63034314560163
0.0,2.0,35.0,6.690577496512319
0.0,2.0,36.0,6.723297128757645
0.0,2.0,37.0,6.727116047158237
0.0,2.0,38.0,6.700312979774585
0.0,2.0,39.0,6.641268806529492
0.0,2.0,40.0,6.549083146785478
0.0,2.0,41.0,6.424274195786085
0.0,2.0,42.0,6.269440872789928
0.0,2.0,43.0,6.0897591495035295
0.0,2.0,44.0,5.893197151009369
0.0,2.0,45.0,5.690365413615209
