x,y,z,value
0.0,0.0,0.0,1.8739794278384623
0.0,0.0,1.0,2.0684716175330324
0.0,0.0,2.0,2.2651874483039696
0.0,0.0,3.0,2.4562250577426967
0.0,0.0,4.0,2.6350538739331637
0.0,0.0,5.0,2.79701087216468
0.0,0.0,6.0,2.9396195152817297
0.0,0.0,7.0,3.062703899992077
0.0,0.0,8.0,3.1682893534449197
0.0,0.0,9.0,3.2603002408264925
0.0,0.0,10.0,3.344084231038252
0.0,0.0,11.0,3.425807996987052
0.0,0.0,12.0,3.511780836831106
0.0,0.0,13.0,3.6077689341277988
0.0,0.0,14.0,3.7183633745493214
0.0,0.0,15.0,3.846459607049672
0.0,0.0,16.0,3.992895333274009
0.0,0.0,17.0,4.156278881506584
0.0,0.0,18.0,4.333022412133228
0.0,0.0,19.0,4.5175755003597535
0.0,0.0,20.0,4.702836521717906
0.0,0.0,21.0,4.880703510910287
0.0,0.0,22.0,5.0427142090663
0.0,0.0,23.0,5.180717908035047
0.0,0.0,24.0,5.287520012336906
0.0,0.0,25.0,5.357444012105647
0.0,0.0,26.0,5.386764314289465
0.0,0.0,27.0,5.373976169763847
0.0,0.0,28.0,5.319884451954476
0.0,0.0,29.0,5.227509750184652
0.0,0.0,30.0,5.1018265263545315
0.0,0.0,31.0,4.949362419917075
0.0,0.0,32.0,4.777698878918418
0.0,0.0,33.0,4.594920202750207
0.0,0.0,34.0,4.40906029993865
0.0,0.0,35.0,4.227593960094394
0.0,0.0,36.0,4.057012644328338
0.0,0.0,37.0,3.902514550515671
0.0,0.0,38.0,3.767826156665374
0.0,0.0,39.0,3.6551589211944684
0.0,0.0,40.0,3.5652917033139198
0.0,0.0,41.0,3.4977580462474664
0.0,0.0,42.0,3.4511088062665807
0.0,0.0,43.0,3.423215456140602
0.0,0.0,44.0,3.4115781014592668
0.0,0.0,45.0,3.4136047722719205
0.0,0.0,46.0,3.4268344508170037
0.0,0.0,47.0,3.4490847980682693
0.0,0.0,48.0,3.478515636692499
0.0,0.0,49.0,3.5136097979062604
0.0,1.0,0.0,1.831168816334987
0.0,1.0,1.0,2.030014727855277
0.0,1.0,2.0,2.229678510649409
0.0,1.0,3.0,2.422644205553888
0.0,1.0,4.0,2.6029107953265744
0.0,1.0,5.0,2.766428310449052
0.0,1.0,6.0,2.9113471904502837
0.0,1.0,7.0,3.038060003086542
0.0,1.0,8.0,3.1490336919632957
0.0,1.0,9.0,3.2484497386184725
0.0,1.0,10.0,3.3416871865424937
0.0,1.0,11.0,3.434697737915375
0.0,1.0,12.0,3.5333317703496525
0.0,1.0,13.0,3.642678245263063
0.0,1.0,14.0,3.7664797338703115
0.0,1.0,15.0,3.9066763735640375
0.0,1.0,16.0,4.063120226999583
0.0,1.0,17.0,4.233485452153878
0.0,1.0,18.0,4.413381451438178
0.0,1.0,19.0,4.596657490554031
0.0,1.0,20.0,4.775869923834719
0.0,1.0,21.0,4.942868744252036
0.0,1.0,22.0,5.089450002219095
0.0,1.0,23.0,5.208015591379704
0.0,1.0,24.0,5.292182360324716
0.0,1.0,25.0,5.337288321329021
0.0,1.0,26.0,5.340754225630086
0.0,1.0,27.0,5.302272858317725
0.0,1.0,28.0,5.2238146529671585
0.0,1.0,29.0,5.109455039846312
0.0,1.0,30.0,4.965044709562704
0.0,1.0,31.0,4.797757226970726
0.0,1.0,32.0,4.615557982458108
0.0,1.0,33.0,4.4266435274332405
0.0,1.0,34.0,4.238900577856552
0.0,1.0,35.0,4.059429536374656
0.0,1.0,36.0,3.894168886735234
0.0,1.0,37.0,3.7476452417651176
0.0,1.0,38.0,3.6228604382534444
0.0,1.0,39.0,3.5213132663802087
0.0,1.0,40.0,3.4431405889431446
0.0,1.0,41.0,3.3873519909093877
