x,y,z,value
0.0,0.0,0.0,1.4727263380844136
0.0,0.0,1.0,1.3093929919482374
0.0,0.0,2.0,1.183876538339979
0.0,0.0,3.0,1.101242133695443
0.0,0.0,4.0,1.0625450366350067
0.0,0.0,5.0,1.0650987274100132
0.0,0.0,6.0,1.1032434939476392
0.0,0.0,7.0,1.1694690100211147
0.0,0.0,8.0,1.2556905368191995
0.0,0.0,9.0,1.354458442157381
0.0,0.0,10.0,1.4598979776377454
0.0,0.0,11.0,1.5682277109475755
0.0,0.0,12.0,1.677781984502161
0.0,0.0,13.0,1.7885522789591692
0.0,0.0,14.0,1.9013492766829727
0.0,0.0,15.0,2.0167569939815677
0.0,0.0,16.0,2.1340906594662297
0.0,0.0,17.0,2.25057396091682
0.0,0.0,18.0,2.360917790324931
0.0,0.0,19.0,2.457416841899708
0.0,0.0,20.0,2.530592923351628
0.0,0.0,21.0,2.5703188809426027
0.0,0.0,22.0,2.567270234794456
0.0,0.0,23.0,2.514487410193224
0.0,0.0,24.0,2.408800729070992
0.0,0.0,25.0,2.2518786689037533
0.0,0.0,26.0,2.050706646698059
0.0,0.0,27.0,1.8173819528596227
0.0,0.0,28.0,1.568208607486173
0.0,0.0,29.0,1.3221788516301298
0.0,0.0,30.0,1.099019962110173
0.0,0.0,31.0,0.9170520522046457
0.0,0.0,32.0,0.7911343570632037
0.0,0.0,33.0,0.7309695083306531
0.0,0.0,34.0,0.7399888793704672
0.0,0.0,35.0,0.8149644101752342
0.0,0.0,36.0,0.9463951366364749
0.0,0.0,37.0,1.119614340486689
0.0,0.0,38.0,1.3164705719013094
0.0,0.0,39.0,1.5173656606037393
0.0,0.0,40.0,1.7033943286458944
0.0,0.0,41.0,1.8583272392091743
0.0,0.0,42.0,1.9702109330025488
0.0,0.0,43.0,2.032417832998769
0.0,0.0,44.0,2.0440573154801376
0.0,0.0,45.0,2.0097427288346283
0.0,0.0,46.0,1.9387871319187513
0.0,0.0,47.0,1.8439621741053662
0.0,0.0,48.0,1.7399929581258444
0.0,0.0,49.0,1.6419740020600364
0.0,1.0,0.0,1.6363585885839391
0.0,1.0,1.0,1.435145484901926
0.0,1.0,2.0,1.2731523998131522
0.0,1.0,3.0,1.1562544452323933
0.0,1.0,4.0,1.0860573324860836
0.0,1.0,5.0,1.0602006884764166
0.0,1.0,6.0,1.0731817418492047
0.0,1.0,7.0,1.1175431365475637
0.0,1.0,8.0,1.185213757840293
0.0,1.0,9.0,1.2687720195241088
0.0,1.0,10.0,1.3624202404843055
